key,model,best_parameters,inner_cv_best_f1,outer_folds,inner_folds,nested_f1_mean,nested_f1_std,nested_roc_auc_mean,nested_roc_auc_std,nested_average_precision_mean,nested_average_precision_std,nested_balanced_accuracy_mean,nested_balanced_accuracy_std,nested_precision_mean,nested_precision_std,nested_recall_mean,nested_recall_std
extra_trees,Extremely Randomized Trees,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2}",0.6920115134804627,5,4,0.6946403465108766,0.06618381602764006,0.8948627633581671,0.02534925932788223,0.676537049373311,0.09279492455463773,0.8330309220539934,0.042608087498178,0.6181587847327558,0.11057466425666922,0.8184210526315789,0.09692287821422575
rbf_svc,RBF Support Vector Classifier,"{'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 'scale'}",0.6899561112141062,5,4,0.6841095660177274,0.04435555147432098,0.8854932708483538,0.030477122233890475,0.6693292808898903,0.07518146199388509,0.8350749018665387,0.03976269216037483,0.5841077441077441,0.06381799387395855,0.8389473684210527,0.09538157803980223
random_forest,Random Forest,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 2}",0.6913208980902678,5,4,0.6840152328874133,0.057568183279177856,0.8986149162861491,0.021214278061850115,0.6862088612847496,0.08332164592674651,0.8311816069855003,0.03754440637165216,0.5892471405574854,0.08348422579276711,0.828421052631579,0.07538911065624908
logistic_regression,Logistic Regression,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}",0.688742644674848,5,4,0.6678586463679086,0.08173851204680353,0.8924181887366819,0.027447612754063214,0.6707742367339453,0.0816879345747428,0.8170383721861733,0.06960500687914142,0.5828968390707521,0.06644110380112338,0.7889473684210527,0.13771734270597316
hybrid_mlp_stack,Hybrid OOF Stack + MLP,"{'classifier__final_estimator__mlp__alpha': 0.1, 'classifier__final_estimator__select__k': 8}",0.6351633986928105,5,4,0.6288139756224863,0.07157120625905118,0.8585335055675719,0.03962867233645481,0.6222183879181072,0.0963494520528385,0.7710732596331009,0.04886736932486834,0.6190655501811688,0.11130151771971328,0.6668421052631579,0.1247518312113362
